Order Date,Ship Date,Sales,Quantity,Product ID,Category,Customer ID,Region
01/01/22,01/04/22,4413,3,P000,Technology,CUST000,West
02/01/22,02/04/22,6246,1,P001,Technology,CUST001,South
03/01/22,03/04/22,2943,2,P002,Technology,CUST002,West
04/01/22,04/04/22,6786,1,P003,Technology,CUST003,Central
05/01/22,05/04/22,3546,4,P004,Technology,CUST004,Central
06/01/22,06/04/22,4512,3,P005,Office Supplies,CUST005,Central
07/01/22,07/04/22,4313,2,P006,Office Supplies,CUST006,West
08/01/22,08/04/22,2482,2,P007,Technology,CUST007,West
09/01/22,09/04/22,6946,4,P008,Furniture,CUST008,Central
10/01/22,10/04/22,2218,4,P009,Furniture,CUST009,Central
11/01/22,11/04/22,2946,3,P010,Furniture,CUST010,East
12/01/22,12/04/22,3546,4,P011,Office Supplies,CUST011,Central
01/01/23,01/04/23,6434,3,P012,Office Supplies,CUST012,Central
02/01/23,02/04/23,6157,2,P013,Technology,CUST013,West
03/01/23,03/04/23,6717,4,P014,Office Supplies,CUST014,West
04/01/23,04/04/23,5680,4,P015,Technology,CUST015,East
05/01/23,05/04/23,3332,3,P016,Office Supplies,CUST016,East
06/01/23,06/04/23,3325,3,P017,Office Supplies,CUST017,West
07/01/23,07/04/23,6593,4,P018,Technology,CUST018,Central
08/01/23,08/04/23,5599,3,P019,Office Supplies,CUST019,South
09/01/23,09/04/23,6035,4,P020,Furniture,CUST020,East
10/01/23,10/04/23,5716,2,P021,Furniture,CUST021,South
11/01/23,11/04/23,6283,4,P022,Furniture,CUST022,East
12/01/23,12/04/23,6902,3,P023,Office Supplies,CUST023,South
